,price,LotSize,Age,LandValue,LivingArea,Bedrooms,Fireplaces,Bathrooms,Rooms,Heating,Fuel,Sewer,Waterfront,NewConstruction
1,132500,0.09,42,50000,906,2,1,1,5,electric,electric,septic,No,No
2,181115,0.92,0,22300,1953,3,0,2.5,6,hot water/steam,gas,septic,No,No
3,109000,0.19,133,7300,1944,4,1,1,8,hot water/steam,gas,public/commercial,No,No
4,155000,0.41,13,18700,1944,3,1,1.5,5,hot air,gas,septic,No,No
5,86060,0.11,0,15000,840,2,0,1,3,hot air,gas,public/commercial,No,Yes
6,120000,0.68,31,14000,1152,4,1,1,8,hot air,gas,septic,No,No
7,153000,0.4,33,23300,2752,4,1,1.5,8,hot water/steam,oil,septic,No,No
8,170000,1.21,23,14600,1662,4,1,1.5,9,hot air,oil,septic,No,No
9,90000,0.83,36,22200,1632,3,0,1.5,8,electric,electric,septic,No,No
10,122900,1.94,4,21200,1416,3,0,1.5,6,hot air,gas,none,No,No
11,325000,2.29,123,12600,2894,7,0,1,12,hot air,oil,septic,No,No
12,120000,0.92,1,22300,1624,3,0,2,6,hot air,gas,septic,No,No
13,85860,8.97,13,4800,704,2,0,1,4,electric,electric,septic,No,No
14,97000,0.11,153,3100,1383,3,0,2,5,hot water/steam,gas,public/commercial,No,No
15,127000,0.14,9,300,1300,3,0,1.5,8,hot air,oil,septic,No,No
16,89900,0,88,2500,936,3,0,1,4,hot water/steam,gas,public/commercial,No,No
17,155000,0.13,9,300,1300,3,0,1.5,7,hot air,oil,septic,No,No
18,253750,2,0,49800,2816,4,1,2.5,12,hot air,gas,none,No,No
19,60000,0.21,82,8500,924,2,0,1,6,hot water/steam,oil,septic,No,No
20,87500,0.88,17,19400,1092,3,0,1,6,hot air,oil,septic,No,No
21,112000,1,12,8600,1056,3,0,1,7,electric,electric,septic,No,No
22,104900,0.43,21,5600,1600,3,0,1.5,4,electric,electric,public/commercial,No,No
23,148635,0.32,1,6200,1576,3,0,2.5,7,hot air,gas,septic,No,Yes
24,150000,0.03,24,5100,2080,3,0,2,6,hot air,oil,septic,No,No
25,90400,0.36,16,5200,1600,3,0,1.5,4,electric,electric,public/commercial,No,No
26,248800,4,28,5500,2224,4,0,3,10,hot air,oil,septic,No,No
27,135000,1.83,126,6000,1656,3,0,1,6,hot water/steam,oil,septic,No,No
28,145000,3,26,4500,1170,4,0,1.5,5,hot air,oil,septic,No,No
29,457000,0.43,53,2700,2461,4,1,2,10,hot air,oil,public/commercial,Yes,No
30,140000,0.44,56,19400,1544,3,1,1.5,7,hot air,oil,septic,No,No
31,130000,1.24,51,24800,1220,2,2,1,4,hot water/steam,oil,septic,No,No
32,187000,0.46,3,15200,1858,3,1,2.5,7,hot air,gas,septic,No,No
33,229000,0.87,9,41100,2219,3,1,2,8,hot air,gas,public/commercial,No,No
34,227000,1.8,201,25500,1876,3,0,2.5,5,hot air,oil,septic,No,No
35,179900,0.46,1,15200,2026,4,1,2.5,6,hot air,gas,septic,No,No
36,169900,0.91,19,20200,1671,4,1,3,8,hot air,gas,septic,No,No
37,209900,0.46,1,15200,2060,4,1,2.5,7,hot air,gas,none,No,No
38,169900,0.59,0,17300,1884,4,1,2.5,9,hot air,gas,septic,No,No
39,293000,7.24,43,36600,2022,4,2,3,6,hot water/steam,gas,septic,No,No
40,245900,0.19,0,20700,2394,4,1,2.5,7,hot air,gas,none,No,No
41,157000,0.46,45,20200,1390,3,1,1.5,6,hot air,gas,septic,No,No
42,195000,0.41,32,27100,1954,4,0,2.5,8,hot air,gas,septic,No,No
43,150000,0.78,54,24500,1554,3,1,1.5,5,hot air,oil,septic,No,No
44,234900,0.89,9,41600,1976,3,0,2.5,6,hot air,gas,public/commercial,No,No
45,279550,1.34,0,44400,2479,4,1,2.5,10,hot air,gas,septic,No,No
46,246500,1,0,17100,2714,4,1,2.5,9,hot air,gas,none,No,No
47,124000,1,98,15500,797,2,0,1,3,hot air,oil,septic,No,No
48,138000,0.27,54,8900,1500,3,0,2.5,7,hot water/steam,gas,septic,No,No
49,290000,0.71,73,61000,1838,4,0,2,8,hot air,oil,septic,Yes,No
50,108000,0.9,48,19000,1042,2,1,2,3,hot air,gas,septic,No,No
51,134900,0.24,10,8000,1782,3,0,2.5,6,hot air,gas,public/commercial,No,No
52,64500,0.06,16,1600,1480,2,1,2.5,5,hot air,gas,public/commercial,No,No
53,142000,0.55,20,13800,1426,3,1,2,6,hot air,gas,septic,No,No
54,125000,0.34,32,11100,1404,3,0,2,5,hot air,gas,septic,No,No
55,88000,0.19,15,3400,1480,3,1,1.5,5,hot water/steam,gas,public/commercial,No,No
56,135000,0.23,135,8100,1344,3,0,1,5,hot water/steam,gas,public/commercial,No,No
57,90000,0.07,14,1800,1480,2,1,2.5,5,hot air,gas,public/commercial,No,No
58,90100,0.09,15,2400,1480,3,1,1.5,7,hot water/steam,gas,public/commercial,No,No
59,126900,0.25,10,8400,1596,3,0,2.5,6,hot air,gas,public/commercial,No,No
60,175000,0.47,15,27200,1768,3,1,2,5,electric,electric,septic,No,No
61,158000,0.36,10,12100,1348,2,1,2,3,hot air,gas,public/commercial,No,No
62,92000,0.07,14,1800,1480,3,1,1.5,8,hot air,gas,public/commercial,No,No
63,82800,0.11,225,3900,1483,3,0,1,7,hot air,gas,public/commercial,No,No
64,140000,0.23,25,8300,1576,4,1,1.5,5,hot air,gas,public/commercial,No,No
65,171000,3.16,15,24100,1008,2,0,1,7,electric,electric,septic,No,No
66,200640,0.08,0,32000,2332,4,0,2.5,9,hot air,gas,public/commercial,No,Yes
67,139000,0.57,30,7500,1064,3,1,1,5,hot air,oil,septic,No,No
